GeneID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9		
ENSG00000187513	44	29	45	103	128	392	247	85	137		
ENSG00000225671	0	0	0	0	1	0	0	1	1		
ENSG00000116151	14	96	63	111	91	133	128	88	149		
ENSG00000006555	66	354	199	335	704	841	989	544	357		
ENSG00000236111	4	2	3	6	1	1	3	6	6		
ENSG00000214114	120	359	160	347	850	908	1197	505	573		
ENSG00000116544	3	4	1	1	5	5	3	5	5		
ENSG00000236723	0	356	192	377	1067	1285	2033	428	813		
ENSG00000232467	1	0	2	4	1	0	0	2	0		
ENSG00000117016	33	179	29	26	327	114	268	841	116		
ENSG00000163866	237	544	299	483	1230	1170	1648	559	879		
ENSG00000237130	0	0	0	0	0	0	0	0	0		
ENSG00000232335	0	31	15	56	73	140	144	43	69		
ENSG00000232762	0	0	0	0	1	1	0	0	1		
ENSG00000162384	130	411	267	445	994	1244	1472	549	633		
ENSG00000162391	2	214	74	121	326	368	667	229	353		
ENSG00000117859	537	1303	675	1091	2850	3731	4933	1311	1710		
ENSG00000162396	16	140	55	165	358	343	515	121	194		
ENSG00000284686	0	2	1	0	3	2	3	2	2		
ENSG00000162378	301	445	385	706	1644	1862	2303	750	838		
ENSG00000259818	0	0	0	2	2	3	3	0	0		
ENSG00000234318	0	0	0	0	2	0	0	0	0		
ENSG00000227485	0	0	0	0	0	0	0	0	0		
ENSG00000236646	1	1	1	0	1	0	1	1	0		
ENSG00000243725	5	16	14	8	16	11	21	16	13		
ENSG00000171872	1	0	1	1	2	2	8	1	0		
ENSG00000162407	222	266	277	494	1227	2193	1575	368	471		
ENSG00000163877	91	208	157	240	511	562	824	330	263		
ENSG00000228929	26	68	61	45	52	115	90	83	86		
ENSG00000224570	0	0	0	0	0	0	0	0	0		
ENSG00000224980	0	0	0	0	1	1	0	0	1		
ENSG00000278967	0	1	1	5	1	2	1	1	2		
ENSG00000157184	67	599	335	671	1519	1799	2890	700	1286		
ENSG00000198815	374	1193	589	1106	2697	2821	3575	1350	1471		
ENSG00000134744	276	567	342	604	1745	2067	2094	765	716		
ENSG00000233910	0	0	0	0	0	0	0	0	0		
ENSG00000287703	0	11	0	4	14	30	37	7	14		
ENSG00000283039	0	0	0	0	0	0	0	0	0		
ENSG00000229294	0	0	0	0	2	0	2	0	0		
ENSG00000236973	0	0	0	0	0	0	0	0	0		
ENSG00000277397	0	0	0	0	0	0	0	0	0		
ENSG00000162385	280	499	328	464	825	1292	1311	605	679		
ENSG00000275350	0	0	0	0	0	0	0	0	0		
ENSG00000123080	64	132	48	126	303	384	310	301	199		
ENSG00000285778	0	0	0	0	0	0	0	0	0		
ENSG00000233407	0	0	0	0	0	0	0	0	0		
ENSG00000162598	0	1	0	0	2	1	2	0	0		
ENSG00000280317	0	0	0	0	0	0	0	0	0		
ENSG00000162415	22	374	100	279	777	612	950	43	250		
ENSG00000162600	51	352	149	209	545	487	684	238	262		
ENSG00000116704	154	1500	591	704	4469	3033	3412	1780	2899		
ENSG00000157193	130	339	214	496	1099	1180	984	984	695		
ENSG00000116205	61	348	129	304	702	842	824	396	310		
ENSG00000233994	5	12	11	8	8	5	12	5	15		
ENSG00000227556	0	0	0	0	0	0	0	0	0		
ENSG00000162607	622	1100	541	1434	2649	3986	2736	1761	1981		
ENSG00000285954	2	0	0	0	5	3	4	0	0		
ENSG00000233333	1	1	0	0	5	1	5	0	1		
ENSG00000154027	6	1	11	6	9	31	41	7	5		
ENSG00000234108	0	0	0	0	0	0	1	0	0		
ENSG00000232676	0	1	1	0	3	1	1	1	0		
ENSG00000213579	1	2	2	3	1	0	0	3	3		
ENSG00000137960	149	950	343	516	1364	1561	2934	101	1218		
ENSG00000237852	1	0	1	0	0	0	0	1	0		
ENSG00000132855	2	4	3	4	9	3	8	9	0		
ENSG00000270549	0	0	0	0	0	0	0	0	0		
ENSG00000237163	0	0	0	0	0	0	0	0	0		
ENSG00000229636	1	0	0	0	1	0	0	0	1		
ENSG00000116675	10	35	87	69	347	471	204	179	253		
ENSG00000162433	356	120	713	979	2176	1923	2694	481	1828		
ENSG00000213625	628	1256	912	1106	3679	3964	4429	1644	1686		
ENSG00000233664	0	0	0	0	1	2	1	1	0		
ENSG00000158966	31	134	119	260	403	281	237	148	64		
ENSG00000213703	0	1	0	0	1	0	0	1	0		
ENSG00000233674	0	0	0	0	0	0	0	0	0		
ENSG00000153898	39	290	33	20	1219	543	606	67	38		
ENSG00000117069	24	8	82	83	176	258	180	57	10		
ENSG00000125703	75	234	109	167	602	650	416	201	267		
ENSG00000234144	0	0	0	0	0	1	1	0	0		
ENSG00000277670	0	0	0	0	0	0	0	0	0		
ENSG00000227466	0	0	0	0	0	0	0	0	0		
ENSG00000230498	0	0	0	0	2	2	2	0	0		
ENSG00000162618	234	141	126	403	667	1727	905	300	354		
ENSG00000224493	0	0	0	0	0	0	0	0	0		
ENSG00000131233	0	0	0	0	1	1	0	1	0		
ENSG00000229225	0	0	0	0	0	0	0	0	0		
ENSG00000225598	0	0	0	0	0	0	0	0	0		
ENSG00000137941	11	32	23	89	373	238	200	53	40		
ENSG00000286548	5	20	5	8	30	38	117	22	16		
ENSG00000066135	81	430	238	371	883	946	1157	491	599		
ENSG00000272094	0	0	0	0	1	0	2	0	0		
ENSG00000228853	0	0	0	0	0	0	0	0	0		
ENSG00000284895	0	0	0	0	0	0	0	0	0		
ENSG00000117174	192	478	292	472	1051	1544	1505	748	581		
ENSG00000184313	0	22	9	6	47	11	68	4	43		
ENSG00000288543	1	0	3	1	6	7	4	1	1		
ENSG00000122420	14	25	10	59	336	450	329	88	43		
ENSG00000143013	216	547	602	469	1140	1095	1170	827	401		
ENSG00000226084	58	60	72	62	43	49	107	50	74		
ENSG00000134748	377	941	513	985	2459	3496	3415	1282	1509		
ENSG00000142892	210	621	324	378	1557	1973	2142	1018	801		
ENSG00000229332	0	2	0	0	0	1	3	0	1		
ENSG00000227937	0	0	0	0	0	0	0	0	0		
ENSG00000229752	3	21	5	34	4	10	3	13	24		
ENSG00000233216	0	0	0	0	0	0	0	1	0		
ENSG00000197273	5	13	22	19	906	569	853	864	41		
ENSG00000226804	0	0	0	0	0	0	0	0	0		
ENSG00000230728	0	2	1	0	2	0	1	2	2		
ENSG00000232846	0	0	0	1	0	0	0	0	0		
ENSG00000230787	1	5	2	2	2	4	5	0	1		
ENSG00000116641	374	1072	679	880	2103	2346	2022	1004	1052		
ENSG00000172260	19	118	50	41	794	412	391	162	152		
ENSG00000285473	0	0	0	0	0	0	0	0	0		
ENSG00000234578	0	0	0	1	2	1	3	1	0		
ENSG00000229505	0	0	0	0	1	0	0	0	0		
ENSG00000228187	0	0	1	0	0	0	1	2	0		
ENSG00000182183	3	3	1	6	22	24	9	7	6		
ENSG00000236407	0	0	0	0	0	0	0	0	0		
ENSG00000271949	0	0	0	0	0	0	0	0	0		
ENSG00000227062	0	0	0	0	0	0	0	0	0		
ENSG00000067334	510	1141	666	997	2410	2647	4208	1229	1557		
ENSG00000235011	0	0	0	0	0	0	0	0	0		
ENSG00000213559	0	0	0	0	0	0	0	0	0		
ENSG00000287587	0	1	0	1	1	0	0	0	0		
ENSG00000142949	2454	7027	3935	4625	5534	5887	12939	8101	10557		
ENSG00000232882	2	7	1	8	6	2	7	3	3		
ENSG00000171502	12	10	27	88	102	208	318	23	21		
ENSG00000116157	51	19	45	117	218	462	250	94	127		
ENSG00000143036	98	1521	283	383	1901	2566	6062	1661	738		
ENSG00000065243	589	1261	866	1149	3424	3409	5481	1655	2026		
ENSG00000226960	0	0	0	0	1	0	0	0	0		
ENSG00000234080	1	1	0	1	1	0	1	2	5		
ENSG00000285409	0	0	0	0	0	0	0	0	0		
ENSG00000117528	434	1673	695	1376	3587	3309	5728	1626	2159		
ENSG00000271723	0	0	0	0	2	1	7	0	0		
ENSG00000036549	270	846	516	809	2152	2466	3329	1090	1118		
ENSG00000225191	0	2	0	1	0	0	1	1	2		
ENSG00000287870	0	0	0	0	2	0	0	0	0		
ENSG00000232048	0	0	0	0	0	0	0	0	0		
ENSG00000232857	0	0	0	0	1	0	1	0	0		
ENSG00000273637	0	0	0	0	0	0	0	0	0		
ENSG00000228838	1	9	6	18	13	18	32	40	36		
ENSG00000283761	1	8	1	5	11	8	18	5	2		
ENSG00000189433	107	16	55	9	56	44	42	28	14		
ENSG00000142700	0	19	0	18	17	4	0	25	0		
ENSG00000233514	7	5	11	11	9	19	6	6	18		
ENSG00000127124	156	106	62	91	401	294	240	127	129		
ENSG00000266993	3	26	8	28	105	80	117	33	32		
ENSG00000229316	0	1	0	1	0	0	0	0	1		
ENSG00000234099	0	0	0	0	0	1	1	0	0		
ENSG00000137936	525	392	208	286	718	699	1396	605	491		
ENSG00000232752	0	0	0	0	1	0	0	0	0		
ENSG00000235829	0	0	0	0	1	0	0	0	0		
ENSG00000143032	0	0	0	0	1	13	1	0	1		
ENSG00000280040	0	3	0	2	18	14	12	3	3		
ENSG00000117519	1519	1910	878	2479	3989	6168	7928	1200	1360		
ENSG00000238037	0	0	0	0	0	0	0	0	0		
ENSG00000134215	44	1496	328	2242	4561	15424	8296	609	1959		
ENSG00000227935	0	0	0	0	0	0	0	0	0		
ENSG00000228502	257	897	245	514	258	539	533	659	1404		
ENSG00000271277	0	0	0	0	1	0	0	0	0		
ENSG00000236888	0	0	0	1	0	0	0	0	0		
ENSG00000230828	0	0	0	0	0	0	0	0	0		
ENSG00000152078	161	545	14	276	2094	1287	2542	1207	234		
ENSG00000171492	254	908	296	682	1882	1950	3182	782	981		
ENSG00000233129	0	0	0	0	2	0	2	0	0		
ENSG00000170989	159	136	100	303	708	869	608	269	287		
ENSG00000237897	1	9	3	2	3	4	5	3	5		
ENSG00000116299	29	2141	416	5556	3929	3415	7548	8392	1720		
ENSG00000137962	310	304	229	432	830	1272	1547	242	515		
ENSG00000286692	0	0	0	0	1	0	0	0	0		
ENSG00000260464	1	5	3	7	15	6	28	7	1		
ENSG00000231996	0	0	0	0	0	0	0	0	0		
ENSG00000117154	9	9	42	10	70	22	42	22	5		
ENSG00000162377	198	585	393	694	1445	1836	1603	956	862		
ENSG00000116774	61	192	259	154	1296	1017	1108	231	159		
ENSG00000287756	0	0	0	0	0	0	0	0	1		
ENSG00000284652	1	0	1	3	7	4	9	0	4		
ENSG00000023909	147	719	190	539	1111	1663	2673	648	897		
ENSG00000069702	243	958	496	642	1167	813	1352	426	291		
ENSG00000228399	3	0	5	4	3	2	4	0	2		
ENSG00000236776	0	0	0	0	0	0	0	0	0		
ENSG00000271252	0	0	0	0	0	0	1	0	0		
ENSG00000235794	0	0	0	0	0	0	0	0	0		
ENSG00000233983	0	0	0	0	0	0	0	0	0		
ENSG00000198198	194	1053	522	1414	2630	3070	3856	1782	1995		
ENSG00000116793	126	194	154	323	661	734	1335	302	200		
ENSG00000232918	0	0	0	1	1	1	3	0	0		
ENSG00000183298	10	61	51	57	63	47	78	62	119		
ENSG00000117525	7495	1324	331	444	5013	2784	2477	3551	3306		
ENSG00000162699	0	0	5	0	0	0	0	0	0		
ENSG00000203914	7	15	13	15	6	5	8	8	21		
ENSG00000270457	0	1	1	2	6	0	1	0	1		
ENSG00000231987	0	0	0	0	0	0	0	0	0		
ENSG00000229842	0	0	0	0	0	0	0	0	0		
ENSG00000198162	522	1221	832	1476	3035	3402	3609	1538	1610		
ENSG00000171517	1	9	1	4	111	26	37	13	16		
ENSG00000203864	0	0	0	0	0	0	0	0	0		
ENSG00000233482	0	0	0	0	0	0	0	0	0		
ENSG00000143079	439	1072	665	1425	2892	3531	4104	1319	1171		
ENSG00000232450	1	9	4	14	16	21	28	4	3		
ENSG00000235038	0	0	0	0	0	0	0	0	0		
ENSG00000173947	35	11	11	27	39	61	115	14	27		
ENSG00000134198	48	45	97	552	611	706	734	176	69		
ENSG00000279513	2	2	2	2	6	2	5	3	3		
ENSG00000117620	347	2409	776	1188	4843	3383	6423	3608	2583		
ENSG00000162688	205	856	619	530	1776	1552	2704	719	665		
ENSG00000197106	8	4	6	13	7	35	17	9	5		
ENSG00000231072	0	0	0	0	0	0	0	0	0		
ENSG00000185946	50	524	86	377	1448	1140	1602	346	478		
ENSG00000162627	246	669	297	360	1518	2092	3024	486	848		
ENSG00000265808	455	1170	882	1198	3330	3287	3463	3013	1587		
ENSG00000225923	0	0	0	0	0	0	0	0	0		
ENSG00000134247	692	2094	1240	2339	4235	3758	3848	2413	3186		
ENSG00000162664	214	958	302	1190	2268	2695	3863	1058	1112		
ENSG00000134253	10	61	47	118	189	171	115	122	76		
ENSG00000223416	3	8	5	13	6	4	6	5	32		
ENSG00000179571	0	0	0	0	0	0	0	0	0		
ENSG00000227850	1	2	2	2	2	2	2	4	10		
ENSG00000285532	0	1	1	3	2	5	4	0	3		
ENSG00000226755	0	0	0	0	0	0	0	0	0		
ENSG00000183508	114	283	164	426	2483	3018	709	1422	1122		
ENSG00000277095	0	0	0	0	0	0	0	0	0		
ENSG00000264145	0	0	0	0	0	0	0	0	0		
ENSG00000238256	0	0	0	0	0	0	0	1	0		
ENSG00000198765	0	0	0	0	0	0	0	0	0		
ENSG00000143398	433	647	508	739	1980	2099	2327	1081	982		
ENSG00000196505	125	373	195	407	656	807	877	1014	431		
ENSG00000223489	0	0	0	0	0	0	0	0	0		
ENSG00000230546	0	0	0	0	0	0	0	0	0		
ENSG00000213262	0	0	0	1	2	5	4	0	1		
ENSG00000287015	0	0	0	0	1	0	0	0	0		
ENSG00000235526	0	0	0	0	1	0	0	0	0		
ENSG00000228347	2	3	6	5	1	2	2	2	14		
ENSG00000236012	0	0	0	0	0	0	0	1	0		
ENSG00000134200	0	0	0	1	1	1	2	0	0		
ENSG00000065183	281	1135	812	1430	2412	2771	2704	2397	1388		
ENSG00000226126	0	0	0	1	0	0	3	2	0		
ENSG00000163156	143	312	185	322	627	976	892	498	402		
ENSG00000228453	0	0	0	0	0	0	0	0	0		
ENSG00000261168	0	2	0	4	2	2	6	0	1		
ENSG00000233432	1	1	0	2	0	2	4	1	1		
ENSG00000229911	0	0	0	0	0	0	0	0	0		
ENSG00000171943	90	28	56	146	223	181	189	173	50		
ENSG00000270719	0	0	0	0	0	0	0	0	0		
ENSG00000155761	1	90	66	109	298	309	229	157	124		
ENSG00000116830	208	773	342	1390	2225	3196	2165	1189	1767		
ENSG00000234422	0	0	0	0	0	0	0	0	0		
ENSG00000227091	0	0	0	1	0	2	0	1	0		
ENSG00000081026	205	586	448	650	1320	1708	2191	798	691		
ENSG00000143458	111	398	136	548	743	890	805	673	504		
ENSG00000230932	0	1	1	1	1	0	4	1	0		
ENSG00000225036	0	0	0	0	0	0	0	0	0		
ENSG00000250890	0	0	0	0	0	0	0	0	0		
ENSG00000232240	0	0	0	0	0	0	0	0	0		
ENSG00000234388	0	0	0	0	0	0	0	0	0		
ENSG00000233717	0	0	0	0	0	0	0	0	0		
ENSG00000163155	50	113	60	124	301	428	392	230	160		
ENSG00000241975	2	10	3	11	28	21	39	7	12		
ENSG00000270976	0	0	0	0	0	0	0	0	0		
ENSG00000228217	5	10	8	24	10	12	27	12	15		
ENSG00000270342	0	0	0	0	0	0	0	0	0		
ENSG00000116824	354	143	20	107	846	402	370	146	111		
ENSG00000235887	0	0	0	0	0	0	0	0	0		
ENSG00000235756	0	0	0	0	0	0	0	0	0		
ENSG00000173810	0	0	0	0	0	0	0	0	0		
ENSG00000271890	0	0	0	0	0	0	0	0	0		
ENSG00000283360	2	1	1	2	6	2	4	2	1		
ENSG00000117262	20	89	53	90	343	331	341	179	165		
ENSG00000227970	0	0	0	0	0	0	0	0	0		
ENSG00000231613	0	0	0	0	1	0	1	1	0		
ENSG00000236689	0	0	0	0	2	0	1	0	0		
ENSG00000226028	0	0	0	0	0	0	0	0	0		
ENSG00000203825	0	0	0	0	1	0	0	0	0		
ENSG00000184371	341	248	365	799	1403	883	1231	356	441		
ENSG00000233449	0	0	0	0	0	0	0	0	0		
ENSG00000242943	0	0	0	0	0	0	0	0	0		
ENSG00000232499	6	13	10	22	15	31	23	24	45		
ENSG00000163154	26	19	25	31	124	88	90	31	31		
ENSG00000232995	3	24	6	32	63	45	63	31	24		
ENSG00000238087	0	0	0	0	0	0	0	0	0		
ENSG00000143158	172	693	585	916	1979	3046	3494	1179	1279		
ENSG00000271092	1	7	2	11	27	28	40	6	6		
ENSG00000232148	0	0	0	0	0	0	0	0	0		
ENSG00000000460	59	345	144	351	1070	1623	1474	561	555		
ENSG00000135862	1563	2588	1725	3353	10560	12845	11842	3909	4671		
ENSG00000232952	3	7	5	4	4	7	8	7	5		
ENSG00000260322	0	0	0	0	1	0	0	0	0		
ENSG00000143156	40	1381	378	336	1733	1140	1330	1550	1037		
ENSG00000198771	207	132	85	159	1341	867	649	205	347		
ENSG00000225462	0	1	0	0	1	3	5	1	1		
ENSG00000237756	0	0	0	0	3	0	1	0	0		
ENSG00000271187	0	0	0	0	0	0	0	0	0		
ENSG00000231175	0	0	0	0	0	0	0	0	0		
ENSG00000143185	5	2	0	1	9	4	1	2	0		
ENSG00000272931	2	8	2	8	16	22	32	3	25		
ENSG00000143190	193	553	379	682	1510	1312	1476	695	786		
ENSG00000225475	3	9	5	18	5	1	3	13	33		
ENSG00000232223	0	0	0	0	0	0	0	0	0		
ENSG00000224468	1	13	1	8	34	28	31	17	12		
ENSG00000232551	0	0	0	0	0	0	0	0	0		
ENSG00000238270	0	0	0	0	0	0	0	0	0		
ENSG00000236025	0	0	0	0	0	0	0	0	0		
ENSG00000230704	0	0	0	0	0	0	1	0	0		
ENSG00000286754	0	0	0	0	0	0	0	0	0		
ENSG00000143171	1	1	0	0	10	18	9	6	3		
ENSG00000275767	0	0	0	0	0	0	0	0	0		
ENSG00000047410	1108	3330	1995	2616	7457	7704	9523	3909	3153		
ENSG00000171806	25	63	51	73	267	301	398	176	106		
ENSG00000134216	0	0	0	0	1	0	1	1	0		
ENSG00000230748	0	2	0	0	1	0	0	0	0		
ENSG00000238108	0	0	0	0	0	0	0	0	0		
ENSG00000135842	374	176	311	293	1184	1141	1229	269	342		
ENSG00000287472	0	0	0	0	0	0	0	0	0		
ENSG00000241318	0	0	0	0	2	1	2	0	1		
ENSG00000228238	0	0	0	2	5	0	0	2	0		
ENSG00000232393	2	3	3	2	0	5	1	11	5		
ENSG00000184155	0	0	0	0	0	0	0	0	0		
ENSG00000058085	8161	2484	1887	1188	5381	4480	9517	6656	1973		
ENSG00000232917	3	4	4	4	5	4	13	4	5		
ENSG00000233057	35	180	26	103	21	54	50	118	274		
ENSG00000143167	10	4026	1493	571	6565	4836	5828	1760	6344		
ENSG00000143184	4	3	1	6	15	7	3	4	1		
ENSG00000224691	0	0	0	0	1	2	0	0	0		
ENSG00000233626	0	2	0	2	1	6	2	1	1		
ENSG00000143228	110	270	106	316	679	1131	965	620	694		
ENSG00000231714	0	0	0	0	0	0	0	0	0		
ENSG00000116833	38	177	257	239	593	663	1045	117	293		
ENSG00000000457	70	504	203	414	1237	1552	1511	686	675		
ENSG00000285638	0	0	0	0	0	0	0	0	0		
ENSG00000230987	0	0	1	0	0	0	0	0	0		
ENSG00000228167	0	0	1	0	0	0	0	0	0		
ENSG00000150732	0	0	0	0	0	0	0	0	0		
ENSG00000157064	245	8	9	19	178	387	650	27	104		
ENSG00000288139	0	0	0	0	0	0	0	0	0		
ENSG00000059588	214	1695	539	1997	3816	3515	5197	2566	3190		
ENSG00000162782	30	36	1	11	186	614	224	149	60		
ENSG00000238051	0	0	0	0	0	0	0	0	0		
ENSG00000233196	0	0	1	0	1	1	0	0	0		
ENSG00000229220	0	0	0	0	0	0	0	0	1		
ENSG00000227747	0	0	0	0	1	0	1	0	1		
ENSG00000228081	0	0	0	0	1	0	0	0	0		
ENSG00000228020	0	0	0	0	0	0	0	0	0		
ENSG00000234975	93	70	128	84	80	116	160	37	133		
ENSG00000162851	68	388	239	427	870	641	1352	494	582		
ENSG00000271427	1	4	1	3	20	7	19	6	2		
ENSG00000143353	85	279	209	204	546	367	641	291	270		
ENSG00000197965	760	2608	1551	2373	6985	8699	10540	3939	3184		
ENSG00000143493	170	667	376	578	1767	1414	1724	924	761		
ENSG00000230777	11	32	15	33	18	14	28	32	65		
ENSG00000179397	3	4	2	4	28	23	43	10	2		
ENSG00000224540	0	2	1	2	2	2	0	3	0		
ENSG00000186197	7	3	5	38	10	10	24	0	6		
ENSG00000229067	1	2	0	1	1	0	2	1	4		
ENSG00000261182	0	0	0	0	0	0	0	0	0		
ENSG00000162670	1	1	2	2	48	50	31	306	3		
ENSG00000225712	0	1	0	0	0	0	4	1	2		
ENSG00000162761	0	0	0	0	15	4	3	1	0		
ENSG00000143199	0	2	1	4	22	14	12	2	3		
ENSG00000007908	63	10	11	1167	397	1754	404	173	383		
ENSG00000092978	139	275	180	424	1010	821	1093	644	451		
ENSG00000188404	191	111	15	257	607	460	387	104	134		
ENSG00000274702	0	0	0	0	0	0	0	0	0		
ENSG00000226211	0	0	0	0	0	0	0	0	0		
ENSG00000203697	309	1546	251	971	5440	1217	2855	3195	1586		
